TYPE,SITE_ID,SITE_PID,SITE_TYPE,NAME_ENG,NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,REALM,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,GOVSUBTYPE,OWN_TYPE,OWNSUBTYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,PRNT_ISO3,ISO3,SUPP_INFO,CONS_OBJ,INLND_WTRS,OECM_ASMT
Polygon,903139,903139,PA,Surtsey,Surtsey,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(ix),Marine,0,32.4239686882444,33.7,33.8355174019001,Not Reported,0,Inscribed,2008,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,ISL,ISL,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Polygon,2068,2068_1,PA,Commune de Fakarava,Commune de Fakarava,Réserve de biosphère,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Marine,19670.04543,19668.9321607375,19844.904539,19844.9045385836,Not Reported,0,Designated,1977,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,2119,FRA,PYF,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Polygon,900879,900879,PA,Monte San Giorgio,Monte San Giorgio,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(viii),Terrestrial,0,0,10.8934,11.2321983654688,Not Applicable,0,Inscribed,2003,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,CHE;ITA,CHE;ITA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,198296,198296,PA,Area de Conservación Guanacaste,Zone de conservation de Guanacaste,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(ix);(x),Coastal,0,451.116787717717,1470,1452.11788790424,Not Reported,0,Inscribed,1999,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,CRI,CRI,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,902368,902368,PA,St Kilda,Île de St Kilda,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(iii);(ix);(v);(vii);(x),Marine,0,245.347395210483,242.014004,253.949589092615,Not Reported,0,Inscribed,1986,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,GBR,GBR,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Polygon,5003,5003,PA,Taï National Park,Parc national de Taï,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(vii);(x),Terrestrial,0,0,3300,3459.53369849757,Not Applicable,0,Inscribed,1982,Government-delegated management,Not Applicable,Not Reported,Not Applicable,Office Ivoirien des Parcs et Réserves,Existing,State Verified,946,CIV,CIV,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555784011,555784011,PA,Tugay forests of the Tigrovaya Balka Nature Reserve,Tugay forests of the Tigrovaya Balka Nature Reserve,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(ix),Terrestrial,0,0,497.86,492.505193488958,Not Applicable,0,Inscribed,2023,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,TJK,TJK,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555586837,555586837,PA,Kashtayit State Marine Conservation Area,Kashtayit State Marine Conservation Area,Marine Protected Area,Marine Protected Area,National,V,Not Applicable,Marine,0,5.07567522753256,5.2255050479,5.22550459469453,None,0,Designated,2012,Sub-national ministry or agency,Not Applicable,State,Not Applicable,State Fish and Wildlife,MPA Programmatic Management Plan,State Verified,1848,USA,USA,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Polygon,93290,93290,PA,Messel Pit Fossil Site,Site fossilifère de Messel,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(viii),Terrestrial,0,0,0.42,0.417164182963823,Not Applicable,0,Inscribed,1995,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,DEU,DEU,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,902347,902347,PA,Cape Floral Region Protected Areas,Aires protégées de la Région florale du Cap,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,(ix);(x),Terrestrial,0,27.1924069121873,10947.42,11017.2777374462,Not Applicable,0,Inscribed,2004,Federal or national ministry or agency,Not Applicable,State,Not Applicable,Cape Nature,Not Reported,State Verified,946,ZAF,ZAF,Not Applicable,Not Applicable,Not Reported,Not Applicable
